query_id,model,xml_sha,query,expected,verdict,wall_s,cpu_s,resident_mb,virtual_mb,states_stored,states_explored,witness_len,timeout_s,timestamp
tandem_1__acc,tandem_1,f0e37568c6cf,E<> (SU.wait && q1 == 2),SAT,SAT,0.071,0.001,19.848,66388.281,13,38,13,600.0,2026-09-24T20:28:58
tandem_1__cost,tandem_1,f0e37568c6cf,(SU.wait && (q1 >= 1 && a1 >= 1)) --> (SU.wait && (!(q1 >= 1 && a1 >= 1))),SAT,SAT,0.052,0.001,20.906,66370.277,51,294,,600.0,2026-09-24T20:28:58
tandem_1__zone,tandem_1,f0e37568c6cf,A[] true,SAT,SAT,0.050,0.001,20.250,66507.273,51,226,,600.0,2026-09-24T20:28:58
tandem_1_batch__nic,tandem_1_batch,a2390fef8fa7,(SU.wait && (q1 >= 1 && a1 >= 1)) --> (SU.wait && (q1 == 0 || a1 == 0)),SAT,SAT,0.051,0.001,21.055,66507.281,22,35,,600.0,2026-09-24T20:28:58
tandem_1_batch__stall,tandem_1_batch,a2390fef8fa7,E<> (SU.wait && W_e4.idle && W_e5.idle && W_e6.idle && W_e0a.done && W_e0b.done && W_e0c.done && dep < 3),UNSAT,UNSAT,0.050,0.001,20.340,66380.277,22,27,,600.0,2026-09-24T20:28:58
tandem_1_batch__term,tandem_1_batch,a2390fef8fa7,E<> (SU.wait && W_e4.idle && W_e5.idle && W_e6.idle && W_e0a.done && W_e0b.done && W_e0c.done && dep == 3),SAT,SAT,0.053,0.001,20.414,66507.281,22,26,9,600.0,2026-09-24T20:28:58
tandem_1_batch__zone,tandem_1_batch,a2390fef8fa7,A[] true,SAT,SAT,0.050,0.001,20.266,66507.273,22,27,,600.0,2026-09-24T20:28:58
tandem_1_batch_norestart__nic,tandem_1_batch_norestart,836b7de6568b,(SU.wait && (q1 >= 1 && a1 >= 1)) --> (SU.wait && (q1 == 0 || a1 == 0)),UNSAT,UNSAT,0.050,0.001,20.883,66370.281,16,27,7,600.0,2026-09-24T20:28:58
tandem_1_batch_norestart__stall,tandem_1_batch_norestart,836b7de6568b,E<> (SU.wait && W_e4.idle && W_e5.idle && W_e0a.done && W_e0b.done && W_e0c.done && dep < 3),SAT,SAT,0.052,0.000,20.215,66370.277,16,19,7,600.0,2026-09-24T20:28:58
tandem_1_batch_norestart__zone,tandem_1_batch_norestart,836b7de6568b,A[] true,SAT,SAT,0.049,0.001,19.637,66371.270,19,25,,600.0,2026-09-24T20:28:58
tandem_2__acc,tandem_2,fdabb5ea5504,E<> (SU.wait && q2 == 2),SAT,SAT,0.053,0.001,20.363,66370.281,51,98,15,600.0,2026-09-24T20:28:58
tandem_2__cost,tandem_2,fdabb5ea5504,(SU.wait && (q1 >= 1 && a1 >= 1 || q2 >= 1 && a2 >= 1)) --> (SU.wait && (!(q1 >= 1 && a1 >= 1 || q2 >= 1 && a2 >= 1))),SAT,SAT,0.075,0.024,20.949,66370.277,989,6712,,600.0,2026-09-24T20:28:58
tandem_2__ord_P1,tandem_2,fdabb5ea5504,E<> (SU.wait && q2 == 2),SAT,SAT,0.065,0.001,20.070,66655.281,51,98,15,600.0,2026-09-24T20:28:59
tandem_2__ord_P2,tandem_2,fdabb5ea5504,E<> (SU.wait && q1 >= 2 && q2 >= 1),SAT,SAT,0.058,0.001,20.461,66507.277,61,133,19,600.0,2026-09-24T20:28:59
tandem_2__stall,tandem_2,fdabb5ea5504,E<> (SU.wait && W_e2.idle && W_e3.idle && W_e4.idle && W_e5.idle && W_e6.idle && W_e7.idle && W_e8.idle && W_e0.done),UNSAT,UNSAT,0.067,0.014,20.762,66370.277,989,5039,,600.0,2026-09-24T20:28:59
tandem_2__zone,tandem_2,fdabb5ea5504,A[] true,SAT,SAT,0.065,0.014,20.105,66371.273,989,5039,,600.0,2026-09-24T20:28:59
tandem_2_alt__ord_P1,tandem_2_alt,0d1819a99084,E<> (SU.wait && q2 == 2),SAT,SAT,0.054,0.001,20.363,66370.281,52,99,15,600.0,2026-09-24T20:28:59
tandem_2_alt__ord_P2,tandem_2_alt,0d1819a99084,E<> (SU.wait && q1 >= 2 && q2 >= 1),SAT,SAT,0.053,0.001,19.891,66370.277,62,135,19,600.0,2026-09-24T20:28:59
tandem_2_alt__zone,tandem_2_alt,0d1819a99084,A[] true,SAT,SAT,0.064,0.014,20.164,66370.273,998,5071,,600.0,2026-09-24T20:28:59
tandem_2_batch__nic,tandem_2_batch,94c9d7b6894f,(SU.wait && (q1 >= 1 && a1 >= 1)) --> (SU.wait && (q1 == 0 || a1 == 0)),SAT,SAT,0.052,0.001,20.445,66234.281,71,97,,600.0,2026-09-24T20:28:59
tandem_2_batch__stall,tandem_2_batch,94c9d7b6894f,E<> (SU.wait && W_e4.idle && W_e5.idle && W_e6.idle && W_e7.idle && W_e8.idle && W_e9.idle && W_e0a.done && W_e0b.done && W_e0c.done && dep < 3),UNSAT,UNSAT,0.054,0.001,20.363,66370.277,71,83,,600.0,2026-09-24T20:28:59
tandem_2_batch__term,tandem_2_batch,94c9d7b6894f,E<> (SU.wait && W_e4.idle && W_e5.idle && W_e6.idle && W_e7.idle && W_e8.idle && W_e9.idle && W_e0a.done && W_e0b.done && W_e0c.done && dep == 3),SAT,SAT,0.055,0.001,20.422,66371.281,71,82,15,600.0,2026-09-24T20:28:59
tandem_2_batch__zone,tandem_2_batch,94c9d7b6894f,A[] true,SAT,SAT,0.061,0.001,19.844,66380.273,71,83,,600.0,2026-09-24T20:28:59
tandem_2_batch_norestart__nic,tandem_2_batch_norestart,14096277b2a1,(SU.wait && (q1 >= 1 && a1 >= 1)) --> (SU.wait && (q1 == 0 || a1 == 0)),UNSAT,UNSAT,0.054,0.001,20.547,66370.281,37,58,11,600.0,2026-09-24T20:28:59
tandem_2_batch_norestart__stall,tandem_2_batch_norestart,14096277b2a1,E<> (SU.wait && W_e4.idle && W_e5.idle && W_e7.idle && W_e8.idle && W_e9.idle && W_e0a.done && W_e0b.done && W_e0c.done && dep < 3),SAT,SAT,0.062,0.000,20.453,66507.277,55,61,11,600.0,2026-09-24T20:28:59
tandem_2_batch_norestart__zone,tandem_2_batch_norestart,14096277b2a1,A[] true,SAT,SAT,0.050,0.001,19.750,66370.273,69,78,,600.0,2026-09-24T20:28:59
tandem_2_batch_permuted__nic,tandem_2_batch_permuted,f0bc63aecd2d,(SU.wait && (q1 >= 1 && a1 >= 1)) --> (SU.wait && (q1 == 0 || a1 == 0)),SAT,SAT,0.054,0.001,20.582,66370.281,69,103,,600.0,2026-09-24T20:28:59
tandem_2_batch_permuted__zone,tandem_2_batch_permuted,f0bc63aecd2d,A[] true,SAT,SAT,0.053,0.001,20.207,66370.273,69,83,,600.0,2026-09-24T20:28:59
tandem_2_batch_shared_p1__ord_P1,tandem_2_batch_shared_p1,6719a703bfd2,E<> (SU.wait && q1 == 0 && s1 == 1 && q2 == 1 && s2 == 0),SAT,SAT,0.054,0.001,20.004,66370.281,11,13,6,600.0,2026-09-24T20:28:59
tandem_2_batch_shared_p1__ord_P2,tandem_2_batch_shared_p1,6719a703bfd2,E<> (SU.wait && q1 == 1 && s1 == 0 && q2 == 0 && s2 == 1),UNSAT,UNSAT,0.052,0.001,20.449,66371.281,35,41,,600.0,2026-09-24T20:28:59
tandem_2_batch_shared_p1__zone,tandem_2_batch_shared_p1,6719a703bfd2,A[] true,SAT,SAT,0.056,0.001,19.742,66242.273,35,41,,600.0,2026-09-24T20:29:00
tandem_2_batch_shared_p2__ord_P1,tandem_2_batch_shared_p2,45e428a0b755,E<> (SU.wait && q1 == 0 && s1 == 1 && q2 == 1 && s2 == 0),UNSAT,UNSAT,0.056,0.001,19.898,66242.281,35,41,,600.0,2026-09-24T20:29:00
