query_id,model,xml_sha,query,expected,verdict,wall_s,cpu_s,resident_mb,virtual_mb,states_stored,states_explored,witness_len,timeout_s,timestamp
feedback_1__acc,feedback_1,24604e48fb71,E<> (SU.wait && q1 == 2),SAT,SAT,0.057,0.001,20.359,66370.281,23,22,5,600.0,2026-09-24T16:45:47
feedback_1__cost,feedback_1,24604e48fb71,(SU.wait && (q1 >= 1 && a1 >= 1)) --> (SU.wait && (!(q1 >= 1 && a1 >= 1))),SAT,SAT,0.051,0.002,21.004,66370.281,101,293,,600.0,2026-09-24T16:45:47
feedback_1__zone,feedback_1,24604e48fb71,A[] true,SAT,SAT,0.050,0.001,19.836,66379.277,101,191,,600.0,2026-09-24T16:45:47
feedback_2__acc,feedback_2,f85b589f5ef8,E<> (SU.wait && q2 == 2),SAT,SAT,0.053,0.001,20.086,66379.281,162,223,15,600.0,2026-09-24T16:45:47
feedback_2__cost,feedback_2,f85b589f5ef8,(SU.wait && (q1 >= 1 && a1 >= 1 || q2 >= 1 && a2 >= 1)) --> (SU.wait && (!(q1 >= 1 && a1 >= 1 || q2 >= 1 && a2 >= 1))),SAT,SAT,0.094,0.039,21.789,66644.281,1790,7271,,600.0,2026-09-24T16:45:47
feedback_2__ord_P1,feedback_2,f85b589f5ef8,E<> (SU.wait && q2 == 2),SAT,SAT,0.057,0.002,20.090,66379.281,162,223,15,600.0,2026-09-24T16:45:47
feedback_2__ord_P2,feedback_2,f85b589f5ef8,E<> (SU.wait && q1 >= 2 && q2 >= 1),SAT,SAT,0.051,0.001,20.559,66379.277,91,112,10,600.0,2026-09-24T16:45:47
feedback_2__stall,feedback_2,f85b589f5ef8,E<> (SU.wait && W_e2.idle && W_e3.idle && W_e4.idle && W_e5.idle && W_e6.idle && W_e7.idle && W_e9.idle && W_e10.idle && W_e11.idle && W_e12.idle && W_e13.idle && W_e0.done),UNSAT,UNSAT,0.069,0.017,21.070,66507.281,1790,4740,,600.0,2026-09-24T16:45:47
feedback_2__zone,feedback_2,f85b589f5ef8,A[] true,SAT,SAT,0.065,0.017,20.402,66379.277,1790,4740,,600.0,2026-09-24T16:45:47
feedback_2_alt__ord_P1,feedback_2_alt,c2999b4feab7,E<> (SU.wait && q2 == 2),SAT,SAT,0.058,0.002,20.656,66507.281,164,225,15,600.0,2026-09-24T16:45:47
feedback_2_alt__ord_P2,feedback_2_alt,c2999b4feab7,E<> (SU.wait && q1 >= 2 && q2 >= 1),SAT,SAT,0.054,0.001,20.586,66507.277,91,112,10,600.0,2026-09-24T16:45:47
feedback_2_alt__zone,feedback_2_alt,c2999b4feab7,A[] true,SAT,SAT,0.069,0.017,20.309,66243.277,1800,4752,,600.0,2026-09-24T16:45:47
feedback_2_batch__nic,feedback_2_batch,27245b067461,(SU.wait && (q2 >= 1 && a2 >= 1)) --> (SU.wait && (q2 == 0 || a2 == 0)),SAT,SAT,0.059,0.002,21.395,66644.281,145,284,,600.0,2026-09-24T16:45:47
feedback_2_batch__stall,feedback_2_batch,27245b067461,E<> (SU.wait && W_e4.idle && W_e5.idle && W_e6.idle && W_e7.idle && W_e8.idle && W_e10.idle && W_e11.idle && W_e12.idle && W_e13.idle && W_e14.idle && W_e0a.done && W_e0b.done && W_e0c.done && dep < 3),UNSAT,UNSAT,0.055,0.002,20.656,66507.277,145,208,,600.0,2026-09-24T16:45:48
feedback_2_batch__term,feedback_2_batch,27245b067461,E<> (SU.wait && W_e4.idle && W_e5.idle && W_e6.idle && W_e7.idle && W_e8.idle && W_e10.idle && W_e11.idle && W_e12.idle && W_e13.idle && W_e14.idle && W_e0a.done && W_e0b.done && W_e0c.done && dep == 3),SAT,SAT,0.054,0.001,20.648,66379.281,140,172,18,600.0,2026-09-24T16:45:48
feedback_2_batch__zone,feedback_2_batch,27245b067461,A[] true,SAT,SAT,0.052,0.002,19.922,66370.277,145,208,,600.0,2026-09-24T16:45:48
feedback_2_batch_nodepartcheck__nic,feedback_2_batch_nodepartcheck,2ecd4f3e9ab2,(SU.wait && (q2 >= 1 && a2 >= 1)) --> (SU.wait && (q2 == 0 || a2 == 0)),UNSAT,UNSAT,0.053,0.002,20.742,66507.281,112,177,,600.0,2026-09-24T16:45:48
feedback_2_batch_nodepartcheck__stall,feedback_2_batch_nodepartcheck,2ecd4f3e9ab2,E<> (SU.wait && W_e4.idle && W_e5.idle && W_e6.idle && W_e7.idle && W_e8.idle && W_e10.idle && W_e11.idle && W_e12.idle && W_e13.idle && W_e0a.done && W_e0b.done && W_e0c.done && dep < 3),SAT,SAT,0.053,0.001,20.609,66507.277,115,134,15,600.0,2026-09-24T16:45:48
feedback_2_batch_nodepartcheck__zone,feedback_2_batch_nodepartcheck,2ecd4f3e9ab2,A[] true,SAT,SAT,0.056,0.002,19.980,66380.277,140,193,,600.0,2026-09-24T16:45:48
feedback_2_batch_permuted__nic,feedback_2_batch_permuted,9fa3f6165067,(SU.wait && (q2 >= 1 && a2 >= 1)) --> (SU.wait && (q2 == 0 || a2 == 0)),SAT,SAT,0.055,0.003,21.320,66507.281,143,274,,600.0,2026-09-24T16:45:38
feedback_2_batch_permuted__zone,feedback_2_batch_permuted,9fa3f6165067,A[] true,SAT,SAT,0.050,0.002,20.371,66370.277,143,208,,600.0,2026-09-24T16:45:38
feedback_3__acc,feedback_3,1f337e956ed5,E<> (SU.wait && q3 == 2),SAT,SAT,0.062,0.006,21.211,66379.285,820,1103,24,600.0,2026-09-24T16:45:48
feedback_3__cost,feedback_3,1f337e956ed5,(SU.wait && (q1 >= 1 && a1 >= 1 || q2 >= 1 && a2 >= 1 || q3 >= 1 && a3 >= 1)) --> (SU.wait && (!(q1 >= 1 && a1 >= 1 || q2 >= 1 && a2 >= 1 || q3 >= 1 && a3 >= 1))),SAT,SAT,1.888,1.796,27.316,66809.281,36131,219420,,600.0,2026-09-24T16:45:50
feedback_3__zone,feedback_3,1f337e956ed5,A[] true,SAT,SAT,0.931,0.870,34.797,66648.277,36131,145491,,600.0,2026-09-24T16:45:51
feedback_4__frontier,feedback_4,6dbb9fb4b181,A[] true,,SAT,62.980,61.533,151.625,66753.285,903555,4137828,,600.0,2026-09-24T16:49:52
feedback_5__frontier,feedback_5,73ebc977c885,A[] true,,TIMEOUT,600.068,,,,,,,600.0,2026-09-24T17:29:59
fork_join_1__acc,fork_join_1,9ff317542c88,E<> (SU.wait && q1 == 2),SAT,SAT,1.843,0.001,25.375,66535.809,23,62,22,600.0,2026-09-24T16:45:53
fork_join_1__cost,fork_join_1,9ff317542c88,(SU.wait && (q1 >= 1 && a1 >= 1)) --> (SU.wait && (!(q1 >= 1 && a1 >= 1))),SAT,SAT,0.063,0.002,20.598,66379.277,77,430,,600.0,2026-09-24T16:45:53
fork_join_1__zone,fork_join_1,9ff317542c88,A[] true,SAT,SAT,0.052,0.001,20.266,66507.273,77,362,,600.0,2026-09-24T16:45:53
fork_join_2__acc,fork_join_2,f45d7a60f103,E<> (SU.wait && q1 == 2),SAT,SAT,0.055,0.002,20.652,66516.281,77,235,29,600.0,2026-09-24T16:45:53
fork_join_2__cost,fork_join_2,f45d7a60f103,(SU.wait && (q1 >= 1 && a1 >= 1 || q2 >= 1 && a2 >= 1)) --> (SU.wait && (!(q1 >= 1 && a1 >= 1 || q2 >= 1 && a2 >= 1))),SAT,SAT,0.288,0.232,24.969,66639.277,10956,46647,,600.0,2026-09-24T16:45:53
fork_join_2__ord_P1,fork_join_2,f45d7a60f103,E<> (SU.wait && q1 == 2),SAT,SAT,0.054,0.001,20.469,66370.281,77,235,29,600.0,2026-09-24T16:45:53
fork_join_2__ord_P2,fork_join_2,f45d7a60f103,E<> (SU.wait && p1 >= 1 && q2 >= 1),SAT,SAT,0.056,0.001,20.574,66507.277,39,41,7,600.0,2026-09-24T16:45:53
